Solute,Soil Biota Treatment,Soil Moisture Treatment,Est. Difference,Conf. Low,Conf. High,P-value
Ammonium,Microbes Only,1,-1.092,-3.910,1.727,0.439
Ammonium,Plant & Microbes,1,0.201,-2.004,2.406,0.855
Ammonium,Plant Only,1,-0.399,-2.562,1.764,0.712
Ammonium,Microbes Only,2,-1.092,-3.910,1.727,0.439
Ammonium,Plant & Microbes,2,0.201,-2.003,2.405,0.855
Ammonium,Plant Only,2,-0.399,-2.563,1.765,0.712
Ammonium,Microbes Only,3,-1.092,-3.910,1.727,0.439
Ammonium,Plant & Microbes,3,0.201,-2.004,2.405,0.855
Ammonium,Plant Only,3,-0.399,-2.563,1.764,0.712
Bromide,Microbes Only,1,-0.033,-0.727,0.662,0.926
Bromide,Plant & Microbes,1,0.038,-0.484,0.561,0.884
Bromide,Plant Only,1,0.237,-0.261,0.735,0.347
Bromide,Microbes Only,2,-0.260,-0.920,0.400,0.437
Bromide,Plant & Microbes,2,0.172,-0.415,0.759,0.562
Bromide,Plant Only,2,-0.044,-0.614,0.526,0.878
Bromide,Microbes Only,3,-0.077,-0.638,0.484,0.785
Bromide,Plant & Microbes,3,-0.298,-0.780,0.185,0.224
Bromide,Plant Only,3,-0.391,-0.901,0.119,0.132
Calcium,Microbes Only,1,0.236,-0.031,0.503,0.083
Calcium,Plant & Microbes,1,0.149,-0.045,0.342,0.130
Calcium,Plant Only,1,0.128,-0.061,0.318,0.182
Calcium,Microbes Only,2,0.236,-0.031,0.503,0.083
Calcium,Plant & Microbes,2,0.149,-0.045,0.342,0.130
Calcium,Plant Only,2,0.128,-0.061,0.318,0.182
Calcium,Microbes Only,3,0.236,-0.031,0.503,0.083
Calcium,Plant & Microbes,3,0.149,-0.045,0.342,0.130
Calcium,Plant Only,3,0.128,-0.061,0.318,0.182
Chloride,Microbes Only,1,-232.054,-660.630,196.522,0.286
Chloride,Plant & Microbes,1,-35.173,-473.829,403.483,0.874
Chloride,Plant Only,1,-27.672,-455.640,400.297,0.898
Chloride,Microbes Only,2,-240.581,-687.836,206.674,0.289
Chloride,Plant & Microbes,2,-44.414,-520.270,431.442,0.854
Chloride,Plant Only,2,-23.647,-491.325,444.032,0.920
Chloride,Microbes Only,3,222.510,-157.487,602.507,0.248
Chloride,Plant & Microbes,3,-10.062,-425.133,405.009,0.962
Chloride,Plant Only,3,-193.203,-622.174,235.767,0.374
Fluoride,Microbes Only,1,-0.124,-0.351,0.103,0.280
Fluoride,Plant & Microbes,1,-0.029,-0.228,0.170,0.774
Fluoride,Plant Only,1,-0.109,-0.307,0.088,0.275
Fluoride,Microbes Only,2,-0.124,-0.351,0.103,0.280
Fluoride,Plant & Microbes,2,-0.029,-0.228,0.170,0.774
Fluoride,Plant Only,2,-0.109,-0.307,0.088,0.275
Fluoride,Microbes Only,3,-0.124,-0.351,0.103,0.280
Fluoride,Plant & Microbes,3,-0.029,-0.228,0.170,0.774
Fluoride,Plant Only,3,-0.109,-0.307,0.088,0.275
Inorganic Carbon,Microbes Only,1,-56.427,-100.159,-12.696,0.012
Inorganic Carbon,Plant & Microbes,1,22.160,-15.097,59.417,0.241
Inorganic Carbon,Plant Only,1,1.682,-34.051,37.416,0.926
